City,State,Title,Address,Phone,Website,Rating,Rating_Count,Category,Scraped_Email,Scraped_Phone,Facebook_URL,Instagram_URL,LinkedIn_URL,YouTube_URL
Chennai,Tamil Nadu,Bright Ventures Academy - Share Market Training Classes | Stock Trading Courses,"2nd Floor, 307/4, Alapakkam Main Rd, near Seven Hills Polytechnic, Maduravoyal, Chennai, Tamil Nadu 600095",098848 88824,http://www.commoditytradingmcx.com/,4.9,720.0,Training center,,7228615432,,,,
Chennai,Tamil Nadu,TRADE ACHIEVERS,"No 2/69, 3rd floor, Poonamallee High Rd, Janakiraman Colony, Arumbakkam, Chennai, Tamil Nadu 600106",098843 42395,https://www.tradeachievers.com/,4.8,3600.0,Training center,tradeachievers@gmail.com,+919384822935,https://www.facebook.com/tradeachievers,https://www.instagram.com/tradeachievers/,,https://www.youtube.com/channel/UCzk4zJEoZMnjvpoN0HlKjHQ
Chennai,Tamil Nadu,CONTANGO TRAINING & RESEARCH ACADEMY | STOCK MARKET TRADING EDUCATION,"8, Rangarajulu St, Ayyavoo Colony, Aminjikarai, Chennai, Tamil Nadu 600030",063791 69369,https://contangoacademy.com/,4.8,360.0,Training center,,6379169369,https://www.facebook.com/contangoacademy,https://www.instagram.com/contangoacademy/,,https://www.youtube.com/@contangoacademy
Chennai,Tamil Nadu,B Square Trade Academy,"2nd Floor, No: 31/32, Palayakaran St, near by Paathala Kanniyamman Alayam, Kodambakkam, Chennai, Tamil Nadu 600024",098409 14944,https://bsquaretradeacademy.com/,4.8,685.0,Training center,info@bsquaretradeacademy.com,6274453342,https://www.facebook.com/bsquaretradeacademyofficial,https://www.instagram.com/bsquaretradeacademyofficial/,https://www.linkedin.com/company/bsquaretradeacademy/,https://youtube.com/video/2ZVuXvIV_aM/
Chennai,Tamil Nadu,Invest Chennai Training Academy,"199, Basement, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",095663 82667,https://investchennai.in/,5.0,11.0,Online Share Trading Center,in@gmail.com,8953185680,https://www.facebook.com/profile.php?id=100089531856800,https://www.instagram.com/investchennai/?igshid=YmMyMTA2M2Y%3D,,https://www.youtube.com/@InvestChennai
Chennai,Tamil Nadu,EQSIS,"6/11A, 3rd Cross St, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",095000 77790,https://www.eqsis.com/stock-market-training/,4.8,2300.0,Training center,,7407683265,,,,
Chennai,Tamil Nadu,D TRADING CLASS - STOCK MARKET TRAINING INSTITUTE,"Sai Nivas building, No: 7; Renugambal Nagar, opposite to Saibaba Temple, Kelambakkam, Tamil Nadu 603103",073055 72954,http://www.dtradingclass.in/,4.9,65.0,Stock broker,,+91 7305572954,,,,
Chennai,Tamil Nadu,NAMMA TRADING ACADEMY,"10, Meenakshi St, Karthikeyan Nagar, Maduravoyal, Chennai, Tamil Nadu 600095",073389 94283,https://www.ntaacademy.in/,4.9,82.0,Training center,info@ntaacademy.in,,,,,
Chennai,Tamil Nadu,S&C Trading Academy,"27/1A, Kavitha St, Ur Nagar, Padi, Chennai, Tamil Nadu 600050",099405 96300,http://www.tradingacademy.co.in/,4.9,271.0,Online Share Trading Center,info@tradingacademy.co.in,+91 9940596300,,,,
Chennai,Tamil Nadu,MCUBE Academy,"2nd Floor, Vijaya Complex, 3/56, 200 Feet Radial Rd, Echankadu, Junction, Tambaram, Tamil Nadu 600129",096009 03515,http://www.mcubeacademy.com/,4.8,239.0,Training center,training@mcubeacademy.in,7524980087,https://www.facebook.com/MCUBEAcademy.in,https://www.instagram.com/mcube_academy1/,https://www.linkedin.com/in/jeyaprakashm/,
